,Central Banks,Month &,Year,Status,Timeline Description,Name of the CBDC,Type,Structure,Technology Provider,Programmability,Interoperability,Governance structure,Centralized / decentralized,DLT / non-DLT,Technology,Main motivation/goals of the CBDC,Remuneration,International access,Caps/Limits,CBDC emission amount,Offline payments,Anonymity/Privacy,Distribution,Link to announcement,Link to whitepaper,Link to site of project,Links to social networks,Description,Announcement Year,Keywords
Australia,Reserve Bank of Australia,December,2021,Proof of concept,"The Reserve Bank of Australia, Commonwealth Bank, National Australia Bank, Perpetual and ConsenSys, with input from King & Wood Mallesons, jointly released a report to mark the successful conclusion of Project Atom. The project involved the development of a proof-of-concept (POC) for the issuance of wholesale central bank digital currency (CBDC) to fund, settle and repay a tokenized syndicated loan on an Ethereum-based distributed ledger technology (DLT) platform. Integrating a wholesale CBDC on the same DLT platform enabled ""atomic"" delivery-versus-payment settlement of the drawdown, novation and repayment of the tokenized syndicated loan, demonstrating efficiency gains and operational risk reductions versus the normally highly manual and paper-based processes.",Project Atom,Wholesale,Token,ConsenSys Software,Yes,,,,DLT,Ethereum,Faciliating atomic DVP settlement,,No,,,,,,https://www.rba.gov.au/media-releases/2021/mr-21-30.html,,,,,2020,
Australia,Reserve Bank of Australia,November,2020,Research,"The Reserve Bank announced that it is partnering with Commonwealth Bank, National Australia Bank, Perpetual and ConsenSys Software, a blockchain technology company, on a collaborative project to explore the potential use and implications of a wholesale form of central bank digital currency (CBDC) using distributed ledger technology (DLT). This is part of ongoing research at the Reserve Bank on wholesale CBDC.",Project Atom,Wholesale,Token,ConsenSys Software,Yes,,,,DLT,,Will be used to explore the implications of 'atomic' delivery-versus-payment settlement on a DLT platform as well as other potential programmability and automation features of tokenised CBDC and financial assets.,,No,,,,,,"https://www.rba.gov.au/publications/submissions/payments-system/financial-and-regulatory-technology/
https://www.rba.gov.au/media-releases/2020/mr-20-27.html",,,,"Australia: The Reserve Bank of Australia (RBA) is actively exploring the use of a wholesale eAUD (Digital Currency). To that end, the RBA conducted a proof of concept to simulate a wholesale settlement system involving commercial banks in the country. The RBA is committed to continue this research throughout 2020 to ascertain the viability of a digital Australian dollar.",2020,
Austria,Oesterreichische Nationalbank,June,2021,Research,,,,,,,,,,,,,,,,,,,,https://www.oenb.at/Presse/Pressearchiv/2021/20210630.html,,,,,,
Austria,Oesterreichische Nationalbank,June,2021,Research,"Oesterreichische Nationalbank (OeNB) joined forces with the OeKB CSD GmbH, the Österreichische Bundesfinanzierungsagentur (OeBFA), Raiffeisen Bank International AG and Erste Group Bank AG to launch a joint research project dubbed DELPHI (Delivery vs. Payment Hybrid Initiative).",DELPHI,Wholesale,,,,,,,DLT,,"The project explores digital bond issuance and related processes. DELPHI is also going to address the legal requirements for such a solution – with a view to assessing compatibility with applicable EU and national law. As part of this project milestone, DELPHI will highlight where the current legal framework may need to be changed to facilitate the implementation of a blockchain-based solution.",,,,,,,,https://www.oenb.at/en/Media/20210630.html,,,,"OeNB will provide a wholesale central bank digital currency (CBDC), which will be pegged directly to the euro, to ensure that the title to the securities and the corresponding payments are exchanged simultaneously.",2021,
Azerbaijan,Central Bank of Azerbaijan,June,2022,Research,The Central Bank of Azerbaijan (CBA) is reportedly studying the possibility of issuing a central bank digital currency (CBDC).,,,,,,,,,,,,,,,,,,,https://www.azernews.az/business/195513.html,,,,,2022,
Bahamas,Central Bank of Bahamas,April,2023,Launched,"The Central Bank of the Bahamas (CBB) has released an update on the adoption of its Sand Dollar CBDC, revealing that although approximately 100,000 wallets have been downloaded, the usage of the CBDC remains relatively low compared to the size of the overall domestic payments system. The number of merchants who have downloaded wallets is also minimal, with only 1,512 downloads compared to around 22,000 potential businesses in the nation. To increase usage, the CBB plans to introduce a new version of the wallet that will allow digital payment providers to offer fee-based merchant services within the Sand Dollar platform. Financial institutions will be able to customize the appearance of the app to display their unique brand identities, including logos and branding color preferences. Additionally, the CBB will increase its promotional activities at cultural and civic events, and is giving away $1 million in Sand Dollars to early adopters through 2024.",Sand Dollar,Retail,Token,NZIA,Yes,Yes,,,DLT,NZIA Cortex DLT,"The main goals of the Sand Dollar to modernise and streamline the country's financial system, reduce service delivery costs, increase transactional efficiency and improve financial inclusion.",,,,,,,,https://www.centralbankbahamas.com/news/press-releases/press-release-public-update-on-the-bahamas-digital-currency-sanddollar-1,,,,,2023,
Bahamas,Central Bank of Bahamas,November,2022,Launched,"In a recent speech, Central Bank of the Bahamas (CBB) Governor John Rolle described four central bank digital currency (CBDC) factors that the Bahamas’ experience suggests are particularly important – and that remain important to its own efforts to encourage CBDC adoption. Those factors are: building a network of merchants that accept and encourage CBDC use; achieving interoperability with the traditional banking system; enlisting participation from the traditional banking sector and credit unions; and the importance of “user education” and “inspiring user confidence”",Sand Dollar,Retail,Token,NZIA,Yes,Yes,,,DLT,NZIA Cortex DLT,"The CBB is to add more features to the next version of the Sand Dollar’s ‘core application’ to allow financial institutions to “seamlessly structure and manage merchant fee arrangements,” he informed the conference audience.",,,,,,,,https://www.globalgovernmentfintech.com/bahamas-central-bank-cbdc-sand-dollar-first-two-years/,,,,,2022,
Bahamas,Central Bank of Bahamas,October,2020,Launched,After a successful 2019 pilot on the island conglomeration of Exuma the Sand Dollar was launched in October 2020 on further islands of the Bahamas. The Sand Dollar is the first ever nationwide CBDC in the world.,Sand Dollar,Retail,Token,NZIA,Yes,Yes,,,DLT,NZIA Cortex DLT,"The main goals of the Sand Dollar to modernise and streamline the country's financial system, reduce service delivery costs, increase transactional efficiency and improve financial inclusion.",No,No,Transaction and holding limit,,Yes,"Transaction transparency to enable central bank monitor suspicious transactions and stop accounts. Pseudonyms ensure user anonymity. Central bank maintains ledger and server is encrypted (Source: John Kiff, https://theglobalfintechintelligencer.com/2021/04/12/features-of-central-bank-of-the-bahamas-sand-dollar-and-eastern-caribbean-central-bank-dcash/).",Two-tiered distribution,"https://www.cemla.org/fintech/docs/2020-Implementing-CBDC.pdf
https://cointelegraph.com/news/the-bahamas-launches-world-s-first-cbdc-the-sand-dollar",,https://www.sanddollar.bs/,https://www.linkedin.com/showcase/sanddollarbs/,After a successful 2019 pilot on the island conglomeration of Exuma the Sand Dollar was launched in October 2020 on further islands of the Bahamas. The Sand Dollar is the first ever nationwide Central Bank Digital Currency in the world.,2017,
Bahamas,Central Bank of Bahamas,June,2019,Pilot,"In 2019, the pilot of the Sand Dollar was launched in Exuma Island.",Sand Dollar,Retail,Account/Token,NZIA,Yes,Yes,,,DLT,,,,,,,,,,,,https://www.sanddollar.bs/,https://www.linkedin.com/showcase/sanddollarbs/,"The sand dollar is the first ever nationwide Central Bank Digital Currency in the world. As a pilot location, Exuma as one island of the Bahamas was chosen.",2017,
Bahamas,Central Bank of Bahamas,May,2017,Research,"Public documents released by the Central Bank of The Bahamas during 2017 make clear that the regulatory foundation for a CBDC was being laid. In May of 2017, the payments unit research department released a consultation paper inviting the public to comment on the upcoming payments instrument (oversight) regulations.",Sand Dollar,Retail,Account/Token,NZIA,Yes,Yes,,,,,,,,,,,,,,,,,,2017,
Bahrain,Central Bank of Bahrain (CBB),January,2020,Research,Bahrain's Central Bank is to pilot a new toolkit developed by the World Economic Forum to evaluate the impact of digital currencies on the economy.,Digital Dinar,Retail,,,,,,,,,"To evaluate the impact of digital currencies on the economy. Also, payment eddicency and financial inclusion.",,,,,,,,"https://www.arabianbusiness.com/banking-finance/438417-bahrain-to-pilot-toolkit-for-central-bank-digital-currency

https://www.newsofbahrain.com/bahrain/42742.html

https://www.cbb.gov.bh/ar/media-center/%D8%AA%D8%B1%D8%AA%D9%83%D8%B2-%D8%B9%D9%84%D9%89-5-%D8%A3%D9%88%D9%84%D9%88%D9%8A%D8%A7%D8%AA-%D8%B7%D9%85%D9%88%D8%AD%D8%A9-%D9%88%D8%AD%D8%B2%D9%85%D8%A9-%D9%85%D8%AA%D9%86%D9%88%D8%B9%D8%A9-%D9%85/",,,,"The Bank of Bahrain is in the early stages of researching a CBDC, along with innovative solutions for digital payment. In 2018, the Governor of the Central Bank of Bahrain (CBB), Rasheed Mohamed Al Maraj, said that the CBB is in the early stages of studying a ""digital dinar,"" the digital version of its currency, in an interview with the Daily Tribune - News of Bahrain.

In early 2020, the Central Bank of Bahrain announced that it will pilot the CBDC Policy-Maker Toolkit developed by the World Economic Forum as part of the CBB's research on the impact of digital currencies on the economy.",,
Bahrain,Central Bank of Bahrain (CBB),March,2018,Research,"""Digital Dinar"" is on of the Idea CBB started taking into concideration",Digital Dinar,Retail,,,,,,,,,,,,,,,,,,,,,,2018,
Bangladesh,Bangladesh Bank,June,2022,Research,Bangladesh has revealed plans to conduct a feasibility study on the possibility of introducing a central bank digital currency (CBDC) based on blockchain technology.,,,,,,,,,,,Exploring CBDC as an alternative to ‘risky’ private digital currencies.,,,,,,,,https://coingeek.com/bangladesh-exploring-cbdc-as-an-alternative-to-risky-private-digital-currencies/,,,,,2022,
Belarus,Central Bank of Belarus,April,2023,Research,"The National Bank of Belarus has approved a concept for the Belarusian digital ruble and is working on building a demo version to test it out. The bank is also looking at the experience of the Central Bank of Russia to avoid making similar mistakes. A decision on the feasibility of implementing the digital ruble in the country will be made by the end of the year at the level of the head of state. Introducing the new currency will require changes in legislation and conducting a pilot project with a narrow circle of participants. The technology is expected to be most useful in cross-border payments, and the National Bank plans to ensure their systems are ready to connect with those of other countries that introduce digital currencies. Currently, digital currencies are not commonly used in cross-border payments, but countries are experimenting with docking payment systems.",Digital Ruble,,,,,,,,,,"The motivation of the National Bank of Belarus is to keep up with modern trends and approaches, while also preparing for the potential of other countries introducing their own digital currencies. The digital ruble could also offer benefits for cross-border payments, providing citizens and legal entities with high-quality services.",,,,,,,,https://www.belta.by/economics/view/budet-li-v-belarusi-tsifrovoj-rubl-natsbank-rasskazal-o-perspektivah-562154-2023/,,,,,2023,
Bhutan,Royal Monetary Authority,September,2021,Research,"Bhutan's central bank, the Royal Monetary Authority (RMA), will pilot a central bank digital currency (CBDC) using Ripple's CBDC Private Ledger.",digital Ngultrum,"Retail, Wholesale",,Ripple,,,,,,XRP Ledger,To accelerate its mission to increase financial inclusion in Bhutan to 85% by 2023.,,,,,,,,https://ripple.com/ripple-press/royal-monetary-authority-of-bhutan-ripple-partner-to-pilot-cbdc-using-private-blockchain/,,,,Bhutan collaborated with Ripple to test the potential of CBDCs to provide an alternative and sustainable digital payment instrument.,2021,
Brazil,Central Bank of Brazil,March,2023,Proof of concept,"Banco Central do Brasil (BCB) announced the start of a central bank digital currency (CBDC) proof-of-concept (PoC) project aimed at providing payment rails executed on distributed ledger technology (DLT) to support the provision of retail financial services, including the purchase and sale of tokenized government bonds, settled through tokenized bank deposits. The PoC is not aimed at leveraging digital payments, as this is already being done on a large scale with Pix, which was launched at the end of 2021 and has been widely adopted.",Digital Real ,Retail ,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://www.bcb.gov.br/detalhenoticia/17848/nota,,,,,2023,
Brazil,Central Bank of Brazil,February,2023,Proof of concept,"Banco Central do Brasil will reportedly focus its first digital real experiments on determining the levels of privacy and security that can be achieved with the proposed central bank digital currency (CBDC) infrastructure. The tests will be conducted later this year and will set up a simplified operation to transact with a still-to-be-determined tokenized asset. The tests would start after the current laboratory phase of the digital real, which is currently being conducted as a part of the open LIFT challenge project that is testing nine different proposals.",Digital Real ,Retail ,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://einvestidor.estadao.com.br/comportamento/real-digital-primeiro-teste/,,,,,2023,
Brazil,Central Bank of Brazil,February,2023,Proof of concept,"Banco Central do Brasil (BCB) reportedly aims to launch its central bank digital currency (CBDC) in 2024. It will be designed to encourage banks to tokenize their assets, so it sounds like it’s being designed for niche cases, rather than general purpose usage.The huge popularity of the BCB’s PIX payment system might argue for such an approach. Its use now surpasses transactions with credit and debit cards in the country.",Digital Real ,Retail ,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://www.reuters.com/markets/currencies/brazil-central-bank-launch-its-digital-currency-2024-2022-12-13/,,,,,2023,
Brazil,Central Bank of Brazil,December,2022,Proof of concept,President Roberto Campos Neto said that the Banco Central do Brasil (BCB) plans to introduce a central bank digital currency (CBDC) by 2024. The central bank will conduct proof of concept work with some financial institutions before launching a full-blown pilot.,Digital Real ,Retail ,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://www.coindesk.com/policy/2022/12/13/brazil-central-bank-plans-to-launch-a-cbdc-in-2024/,,,,,2022,
Brazil,Central Bank of Brazil,September,2022,Proof of concept,"The Banco Central do Brasil (BCB) announced the short list of eight projects selected in the 2022 Laboratory of Financial and Technological (LIFT). One of them is a proposal to convert a stablecoin on the Celo blockchain into Real Digital, studying the interoperability between the public blockchain that runs on the EVM (Ethereum Virtual Machine) and the central bank digital currency (CBDC), in addition to the possible interoperability with Pix.",Digital Real ,Retail,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,"https://www.bcb.gov.br/detalhenoticia/627/noticia
https://liftlab.com.br/",,,,,2022,
Brazil,Central Bank of Brazil,June,2022,Proof of concept,"Banco Central do Brasil is reportedly pushing out its central bank digital currency (CBDC) pilot work from end-2022 to 2023. This is due to a workers’ strike at the central bank, which impacted the original schedule.",Digital Real,Retail ,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://www.zdnet.com/finance/blockchain/brazils-digital-currency-implementation-pushed-to-2024/,,,,,2022,
Brazil,Central Bank of Brazil,March,2022,Proof of concept,Central Bank of Brazil President Roberto Campos Neto confirmed that the Digital Real central bank digital currency (CBDC) pilot launch will go live later this year.,Digital Real,Retail,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://www.bcb.gov.br/conteudo/home-ptbr/TextosApresentacoes/Apresenta%C3%A7%C3%A3o_RCN_Arko_VPUB.pdf,,,,,2022,
Brazil,Central Bank of Brazil,March,2022,Proof of concept,"The Banco Central do Brasil's Lift Challenge Real Digital has chosen nine partners to help develop a digital real, Brazil's central bank digital currency (CBDC). They received 47 project proposals from Brazil, Germany, the U.S., Israel, Mexico, Portugal, the U.K. and Sweden. An implementation phase for the selected projects will begin on March 28 and last until July 27, with an eye towards launching a pilot in 2022 and introducing a final version in 2024.",Digital Real,Retail,,"Aave,
Banco Santander Brasil,
Febraban.
Giesecke + Devrient.
Itaú Unibanco,
Bitcoin Market,
Tecban,
VERT,
Visa do Brasil,
",,,,,DLT,,,,,,,,,,https://www.bcb.gov.br/detalhenoticia/17632/nota,https://www.bcb.gov.br/detalhenoticia/17632/nota,,,,2022,
Brazil,Central Bank of Brazil,November,2021,Research,The Central Bank of Brazil (BCB) plans to start a pilot program of a digital currency next year.,Digital Real,Retail,,,,,,,,,"The central bank explores a CBDC to analyze potential benefits for financial inclusion, stability, and the conduct of monetary and economic policies. ",,,,,,,,"https://www.bcb.gov.br/detalhenoticia/548/noticia
https://www.bcb.gov.br/detalhenoticia/17438/nota
https://www.coindesk.com/business/2021/11/22/brazils-central-bank-plans-to-launch-a-cbdc-pilot-in-2022-report/",,,,The Central Bank of Brazil (BCB) plans to start a pilot program of a digital currency next year.,,
Brazil,Central Bank of Brazil,May,2021,Research,"September 2020: Brazil could have CBDC in two years, says central bank president. In May 2021, the central bank published its guidelines for the potential issuance of retail CBDC. ",Digital Real,Retail,Token,R3 Corda,Yes,No,,,,,"The central bank explores a CBDC to analyze potential benefits for financial inclusion, stability, and the conduct of monetary and economic policies. ",,,,,,,,"https://www.r3.com/wp-content/uploads/2018/11/CBDC_Brazil_R3.pdf
https://cointelegraph.com/news/brazil-could-have-cbdc-in-two-years-says-central-bank-president
https://www.bcb.gov.br/detalhenoticia/548/noticia",,,,,,
Brazil,Central Bank of Brazil,August,2017,Proof of concept,"Central Bank of Brazil Staff Research Paper (Burgos et al, 2017): The paper analysed different DLT platforms in the context of local inter-bank payment and settlement systems (SALT). The project suggested installing a DLT-based system, without involving any DFC, as a backup to the ""normal payments infrastructure"". The project concluded that while DLT enabled payment systems could be inherently resilient, there are still certain unresolved issues relating to data transparency, privacy, settlement finality in certain DLT platforms",Digital Real,Wholesale,Token,"R3 Corda
Hyperledger Fabric
Quorum",Yes,No,,,,,,,,,,,,,https://www.bcb.gov.br/content/publicacoes/outras_pub_alfa/Distributed_ledger_technical_research_in_Central_Bank_of_Brazil.pdf,,,,,2017,
Canada,Bank of Canada,December,2022,Research,"Bank of Canada Governor Tiff Macklem reportedly said that next year (2023) the central bank plans to consult the public on a potential central bank digital currency (CBDC). It is moving from the research phase into the development phase to be prepared if the need arises to issue a CBDC. However, the Governor made clear that a decision on whether to issue a CBDC is up to parliament. Macklem outlined three drivers that could result in the launch of a retail CBDC; a loss of control over the Bank’s monetary authority if there is a dramatic switch from cash usage into other digital currencies, or if Canadians heavily adopt a private sector stablecoin, particularly one not denominated in Canadian dollars.",E Dollar,"Retail, Wholesale",Token,R3 Corda,,,,,,,"Considering the challenges of losing cash as the anchor of public money, the main motivation here is to hedge against the risks of losing relevancy to other digital currencies.",,,,,,,,https://www.ledgerinsights.com/bank-of-canada-plans-2023-cbdc-consultation-as-it-moves-to-development/,,,,,2022,
Canada,Bank of Canada,May,2019,Research,Bank of Canada Project Jasper Phase 4 which is focused on securities settlement system. ,E Dollar,Wholesale,Token,"R3 Corda 
",,,,,,,,,,,,,,,https://www.mas.gov.sg/-/media/Jasper-Ubin-Design-Paper.pdf?la=en&hash=EF5857437C4857373A9287CD86F56D0E7C46E7FF,,,,,2017,
Canada,Bank of Canada,October,2018,Research,Bank of Canada Project Jasper Phase 3 which is focused on cross-border payments made wholesale CBDC experiments.,E Dollar,Wholesale,Token,"R3 Corda 
Quorum ",,,,,,,,,,,,,,,"https://www.payments.ca/sites/default/files/jasper_phase_iii_whitepaper_final_0.pdf 
",,,,,2017,
Canada,Bank of Canada,February,2017,Research,Bank of Canada Project Jasper Phase 1 and 2 focused on a domestic payments system.,E Dollar,Wholesale,Token,"Ethereum
R3 Corda",,,,,,,,,,,,,,,"https://www.payments.ca/sites/default/files/project_jasper_primer.pdf 
https://www.payments.ca/sites/default/files/29-Sep-17/jasper_report_eng.pdf 
",,,,,2017,
Canada,Bank of Canada,May,2021,Research,"In February 2020, Contingency Planning for a Central Bank Digital Currency was announced. In May 2021, the bank established some key features of a CBDC, and we asked some tough questions.",E Dollar,Retail,Account/Token,,,,,,,,"The Bank will consider launching a CBDC if certain scenarios materialize or appear as if they are likely to. A CBDC could become beneficial or even necessary, if 1) the use of bank notes were to continue to decline to a point where Canadians no longer had the option of using them for a wide range of transactions; or 2) one or more alternative digital currencies - likely issued by private sector entities - were to become widely used as an alternative to the Canadian dollar as a method of payment, store of value and unit of account.",,,,,,,,"https://www.bankofcanada.ca/2020/02/contingency-planning-central-bank-digital-currency/ https://cbpn.currencyresearch.com/blog/2021/05/26/towards-a-digital-canadian-dollar-if,-how,-when
https://www.bankofcanada.ca/2021/07/staff-discussion-paper-2021-11/",,,,"The Bank of Canada currently has no plans to launch a CBDC. Rather, the Bank will build the capacity to issue a general purpose, cash-like CBDC should the need to implement one arise. Because it will take several years to build this capacity, the Bank cannot wait until the need is evident before launching preparatory work. Preparing in advance is critical. At the same time, the Bank is preparing for a range of other possible changes to money and payments in Canada as innovation continues.",2020,
Canada,Bank of Canada,February,2020,Pilot,"The project is currently in its phase where the Canadian central bank is working with the Monetary Authority of Singapore (MAS) and the Bank of England on a cross-border, cross-currency settlement system.",Jasper,Wholesale,Account/Token,R3 Corda,Yes,No,,,DLT,R3 Corda,,,,,,,,,,,,,,2016,
